,CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
0,V99790,171,0.005,0.04,4.572,0.518,0.069,0.04,347,49,1387.0,10,4,0.009000000000000001
1,V99791,161,0.005,0.035,4.58,0.5589999999999999,0.07,0.040999999999999995,361,45,1386.0,10,4,0.006999999999999999
2,V99789,170,0.005,0.042,4.59,0.46799999999999997,0.044000000000000004,0.036000000000000004,355,52,1368.0,9,4,0.013000000000000001
3,V99787,159,0.005,0.034,4.53,0.737,0.077,0.04,313,44,1401.0,9,4,0.01
4,V99782,162,0.005,0.042,4.56,0.44299999999999995,0.055999999999999994,0.037000000000000005,360,55,1346.0,10,5,0.013000000000000001
5,V99781,165,0.005,0.035,4.52,0.48,0.055999999999999994,0.037000000000000005,323,49,1407.0,9,4,0.01
6,V99779,167,0.005,0.04,4.56,0.63,0.069,0.037000000000000005,349,51,1395.0,10,5,0.009000000000000001
7,V99778,163,0.005,0.04,4.56,0.547,0.057,0.036000000000000004,346,78,1373.0,9,5,0.012
8,V99777,164,0.005,0.05,4.5,0.397,0.049,0.037000000000000005,373,72,1386.0,11,7,0.004
9,V99776,162,0.005,0.039,4.52,0.622,0.069,0.04,344,56,1357.0,9,5,0.006999999999999999
10,V99775,179,0.005,0.038,4.55,0.6829999999999999,0.067,0.04,337,53,1436.0,10,5,0.005
11,V99774,172,0.005,0.038,4.54,0.43,0.053,0.038,313,57,1339.0,9,6,0.006999999999999999
12,V99773,173,0.005,0.037000000000000005,4.52,0.39,0.046,0.035,320,50,1390.0,8,5,0.012
13,V99772,175,0.005,0.039,4.54,0.46,0.054000000000000006,0.035,318,54,1401.0,9,5,0.013999999999999999
14,V99771,178,0.005,0.038,4.52,0.61,0.055999999999999994,0.036000000000000004,347,52,1429.0,10,5,0.011000000000000001
15,V99770,175,0.005,0.036000000000000004,4.53,0.47,0.057999999999999996,0.035,410,62,1364.0,11,9,0.005
16,V99769,174,0.005,0.038,4.54,0.44,0.055999999999999994,0.034,313,56,1330.0,9,6,0.008
17,V99768,166,0.005,0.036000000000000004,4.51,0.55,0.064,0.034,328,50,1369.0,9,5,0.009000000000000001
18,V99767,165,0.005,0.033,4.52,0.42,0.052000000000000005,0.036000000000000004,313,50,1390.0,8,5,0.009000000000000001
19,V99766,165,0.005,0.032,4.51,0.32,0.04,0.037000000000000005,292,52,1385.0,8,5,0.01
20,V99765,166,0.005,0.034,4.56,0.38,0.049,0.038,315,45,1406.0,9,5,0.009000000000000001
21,V99763,163,0.005,0.036000000000000004,4.52,0.7,0.075,0.039,309,49,1396.0,9,5,0.008
22,V99762,163,0.005,0.047,4.55,0.767,0.068,0.039,377,54,1435.0,11,5,0.008
23,V99761,160,0.005,0.04,4.52,0.591,0.064,0.039,345,58,1423.0,9,6,0.01
24,V99759,166,0.005,0.034,4.55,0.363,0.05,0.040999999999999995,323,46,1396.0,9,6,0.01
25,V99758,167,0.005,0.038,4.55,0.381,0.051,0.04,334,50,1381.0,9,5,0.008
26,V99757,168,0.005,0.037000000000000005,4.565,0.7559999999999999,0.07400000000000001,0.040999999999999995,333,51,1398.0,9,5,0.009000000000000001
27,V99756,173,0.005,0.042,4.55,0.835,0.081,0.04,354,50,1389.0,10,6,0.006999999999999999
28,V99755,165,0.005,0.044000000000000004,4.59,0.8540000000000001,0.08199999999999999,0.039,365,53,1385.0,9,6,0.006
29,V99753,166,0.005,0.040999999999999995,4.59,0.385,0.045,0.037000000000000005,349,49,1389.0,10,6,0.012
30,V99752,160,0.005,0.043,4.56,0.32299999999999995,0.046,0.036000000000000004,359,52,1396.0,9,6,0.01
31,V99751,173,0.005,0.039,4.54,0.44299999999999995,0.054000000000000006,0.037000000000000005,339,49,1392.0,9,5,0.008
32,V99750,165,0.005,0.03,4.55,1.121,0.095,0.04,299,42,1405.0,11,5,0.008
33,V99749,173,0.005,0.031,4.55,0.8,0.077,0.04,499,46,1394.0,10,5,0.006999999999999999
34,V99748,163,0.005,0.037000000000000005,4.55,0.444,0.054000000000000006,0.038,325,49,1353.0,9,5,0.011000000000000001
35,V99746,162,0.005,0.032,4.68,0.91,0.087,0.04,306,43,1388.0,8,5,0.009000000000000001
36,V99745,163,0.005,0.039,4.61,0.68,0.07,0.038,339,49,1401.0,9,5,0.006
37,V99744,166,0.005,0.038,4.62,0.49,0.055,0.04,415,50,1435.0,12,7,0.006999999999999999
38,V99743,159,0.005,0.036000000000000004,4.64,0.49,0.061,0.040999999999999995,318,45,1402.0,8,5,0.009000000000000001
39,V99742,165,0.005,0.034,4.66,0.58,0.063,0.038,407,41,1388.3496882179193,10,5,0.006
40,V99741,165,0.005,0.04,4.6,0.47,0.057999999999999996,0.039,391,51,1400.0,10,7,0.011000000000000001
41,V99740,168,0.005,0.048,4.53,0.72,0.069,0.036000000000000004,387,54,1391.0,10,7,0.005
42,V99739,170,0.005,0.036000000000000004,4.64,0.56,0.064,0.04,331,48,1366.0,10,5,0.005
43,V99738,172,0.005,0.042,4.58,0.53,0.061,0.038,357,51,1388.3496882179193,10,7,0.011000000000000001
44,V99737,166,0.005,0.049,4.61,0.52,0.06,0.037000000000000005,471,113,1400.0,13,9,0.006999999999999999
45,V99736,160,0.005,0.035,4.64,0.55,0.062,0.040999999999999995,363,51,1388.3496882179193,11,5,0.006
46,V99735,168,0.005,0.036000000000000004,4.63,0.61,0.062,0.039,333,46,1388.3496882179193,10,6,0.008
47,V99734,160,0.005,0.035,4.65,0.52,0.061,0.039,320,47,1436.0,8,5,0.013000000000000001
48,V99733,169,0.005,0.044000000000000004,4.56,0.6,0.062,0.038,360,51,1415.0,10,6,0.006999999999999999
49,V99732,168,0.005,0.046,4.63,0.61,0.063,0.036000000000000004,375,52,1437.0,11,7,0.01
50,V99730,161,0.005,0.035,4.57,0.5760000000000001,0.07,0.04,346,48,1426.0,10,5,0.006
51,V99729,170,0.005,0.047,4.58,0.467,0.054000000000000006,0.035,361,52,1409.0,10,7,0.013999999999999999
52,V99728,163,0.005,0.040999999999999995,4.55,0.478,0.064,0.039,354,53,1358.0,12,7,0.006
53,V99727,164,0.005,0.034,4.58,0.524,0.065,0.040999999999999995,320,53,1392.0,9,5,0.006999999999999999
54,V99726,177,0.005,0.037000000000000005,4.57,0.8,0.07,0.039,332,46,1399.0,9,6,0.009000000000000001
55,V99725,160,0.005,0.045,4.54,0.69,0.065,0.033,511,44,1401.0,15,10,0.006
56,V99724,159,0.005,0.032,4.6,0.8490000000000001,0.08,0.039,303,44,1362.0,9,4,0.005
57,V99723,170,0.005,0.035,4.59,0.574,0.067,0.040999999999999995,324,46,1409.0,9,6,0.006999999999999999
58,V99721,158,0.005,0.04,4.55,1.1,0.1,0.039,344,48,1461.0,10,5,0.009000000000000001
